path,sheet,test_name,message,issues,example
data/data.csv,data,special_characters,Special characters found,"(72, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(73, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(73, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(74, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(74, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(75, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(75, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(76, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(76, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(77, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(77, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(78, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(78, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(79, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(79, (9, 'institutionID'))",https://ror.org/01h1jbk91
data/data.csv,data,special_characters,Special characters found,"(80, (6, 'license'))",http://creativecommons.org/publicdomain/zero/1.0/legalcode
data/data.csv,data,special_characters,Special characters found,"(80, (9, 'institutionID'))",https://ror.org/01h1jbk91
